------------------------------------------
EIGENVALUE: (-13.499730394751548-6.9025282454991295e-31j)
Correlation 0 - 1: (-0.8816508837167983+0j)
Correlation 0 - 2: (0.2618737565840663+0j)
Correlation 0 - 3: (-0.30078874130873945+0j)
Correlation 0 - 4: (0.14076419639078505+0j)
Correlation 0 - 5: (-0.17922283364502203+0j)
Correlation 0 - 6: (0.08329477901066486+0j)
Correlation 0 - 7: (-0.12427027331495678+0j)
------------------------------------------
EIGENVALUE: (-11.92896195105154-4.675184716428715e-37j)
Correlation 0 - 1: (-0.5806989358126169+0j)
Correlation 0 - 2: (0.23255039573096703+0j)
Correlation 0 - 3: (0.09618283243634887+0j)
Correlation 0 - 4: (-0.02596224849211722+0j)
Correlation 0 - 5: (0.3220736594258545+0j)
Correlation 0 - 6: (-0.15826439336507733+0j)
Correlation 0 - 7: (0.37173800020648495+0j)
------------------------------------------
EIGENVALUE: (-11.928961951051496+4.471263610792695e-27j)
Correlation 0 - 1: (-0.5807066648860482+0j)
Correlation 0 - 2: (0.23256101460879255+0j)
Correlation 0 - 3: (0.0961561744580249+0j)
Correlation 0 - 4: (-0.02593947718548768+0j)
Correlation 0 - 5: (0.32203047211124897+0j)
Correlation 0 - 6: (-0.15823810408600456+0j)
Correlation 0 - 7: (0.3716911791359941+0j)
------------------------------------------
EIGENVALUE: (-11.928961951051466+6.058451752094314e-28j)
Correlation 0 - 1: (-0.7243568806115145+0j)
Correlation 0 - 2: (0.42992025880729584+0j)
Correlation 0 - 3: (-0.39930092937609973+0j)
Correlation 0 - 4: (0.39728112478519184+0j)
Correlation 0 - 5: (-0.4806358650820591+0j)
Correlation 0 - 6: (0.3303664672781923+0j)
Correlation 0 - 7: (-0.498511043419895+0j)
------------------------------------------
EIGENVALUE: (-10.014916277511247-7.62667669902473e-22j)
Correlation 0 - 1: (-0.25637604522907304+0j)
Correlation 0 - 2: (-0.013288733655154093+0j)
Correlation 0 - 3: (0.22879166257040953+0j)
Correlation 0 - 4: (-0.11030672887732301+0j)
Correlation 0 - 5: (0.053475690474530546+0j)
Correlation 0 - 6: (0.0397922432892919+0j)
Correlation 0 - 7: (-0.02298657579509849+0j)
------------------------------------------
EIGENVALUE: (-10.014916277511217+3.940752887920095e-30j)
Correlation 0 - 1: (-0.2563760089956653+0j)
Correlation 0 - 2: (-0.013288754065621656+0j)
Correlation 0 - 3: (0.22879171021684133+0j)
Correlation 0 - 4: (-0.11030670530125948+0j)
Correlation 0 - 5: (0.05347567260823555+0j)
Correlation 0 - 6: (0.03979229123462434+0j)
Correlation 0 - 7: (-0.022986631425203394+0j)
------------------------------------------
EIGENVALUE: (-10.014916277511185-1.2902425688223861e-31j)
Correlation 0 - 1: (-0.7979236981702261+0j)
Correlation 0 - 2: (0.291767885485085+0j)
Correlation 0 - 3: (-0.483336067928618+0j)
Correlation 0 - 4: (-0.4626766018411508+0j)
Correlation 0 - 5: (0.3205068701537182+0j)
Correlation 0 - 6: (-0.6768028568996355+0j)
Correlation 0 - 7: (0.8084658235246539+0j)
------------------------------------------
EIGENVALUE: (-9.335215457982322-1.5777312320557622e-30j)
Correlation 0 - 1: (-0.26639481530159287+0j)
Correlation 0 - 2: (0.07657934830761298+0j)
Correlation 0 - 3: (0.20695472506344886+0j)
Correlation 0 - 4: (-0.42067605209919684+0j)
Correlation 0 - 5: (0.046489201114446134+0j)
Correlation 0 - 6: (-0.10243780115647398+0j)
Correlation 0 - 7: (-0.5405146059282441+0j)
------------------------------------------
EIGENVALUE: (-8.432517425087717+5.970163903274667e-16j)
Correlation 0 - 1: (-0.32981768689089913+0j)
Correlation 0 - 2: (-0.03801487937880607+0j)
Correlation 0 - 3: (-0.10631563916938769+0j)
Correlation 0 - 4: (0.04173485331545141+0j)
Correlation 0 - 5: (-0.11412236047322863+0j)
Correlation 0 - 6: (0.11748134489955377+0j)
Correlation 0 - 7: (0.13684344138625948+0j)
------------------------------------------
EIGENVALUE: (-8.43251742508767-2.1682551094023496e-19j)
Correlation 0 - 1: (-0.32981355260547046+0j)
Correlation 0 - 2: (-0.038012340739592386+0j)
Correlation 0 - 3: (-0.10631825015957863+0j)
Correlation 0 - 4: (0.041736983491045786+0j)
Correlation 0 - 5: (-0.11412579851356047+0j)
Correlation 0 - 6: (0.11748051365820214+0j)
Correlation 0 - 7: (0.13684679899756183+0j)
